Burst,T_90S,T_90,T_50S,T_50,Phase,4ms Peak Flux,Fluence
090129353a,27:38.3,70$_{-16}^{+39}$,27:38.3,28$_{-8}^{+4}$,0.3192,2.44E-06 +or- 4.20E-07,5.88E-08 +or- 4.68E-09
090129472a,19:27.5,68$_{-20}^{+48}$,19:27.5,24$_{-2}^{+4}$,0.8318,4.57E-06 +or- 6.21E-07,1.01E-07 +or- 6.40E-09
090129538a,54:14.9,176 +or- 45,54:14.9,84 +or- 36,0.784,4.55E-06 +or- 8.32E-07,1.16E-07 +or- 1.15E-08
090129588a^f,06:37.8,214$_{-42}^{+36}$,06:37.9,76$_{-4}^{+2}$,0.8692,4.02E-05 +or- 1.68E-06,1.29E-06 +or- 2.06E-08
090129936a,27:26.8,74$_{-12}^{+26}$,27:26.8,20$_{-4}^{+4}$,0.2506,2.60E-05 +or- 1.73E-06,4.50E-07 +or- 1.56E-08
090130290a,58:16.5,168 +or- 9,58:16.5,40 +or- 9,0.734,7.72E-06 +or- 7.66E-07,1.94E-07 +or- 1.08E-08
090130812a,29:41.2,288 +or- 9,29:41.2,176 +or- 6,0.9036,1.32E-05 +or- 8.59E-07,5.58E-07 +or- 1.39E-08
090130812b^a,29:42.9,64 +or- 11,29:43.0,24 +or- 18,0.7593,3.70E-06 +or- 4.80E-07,9.01E-08 +or- 6.45E-09
090131080a,54:35.6,72 +or- 40,54:35.6,48 +or- 18,0.9083,1.58E-06 +or- 3.87E-07,5.20E-08 +or- 5.44E-09
090131590a,08:54.8,96 +or- 36,08:54.8,40 +or- 11,0.1532,1.81E-06 +or- 3.59E-07,9.90E-08 +or- 7.36E-09
090201503a,04:28.4,368 +or- 9,04:28.6,88 +or- 6,0.8773,4.39E-06 +or- 6.16E-07,3.43E-07 +or- 1.50E-08
090201684a,25:16.3,112 +or- 23,25:16.3,64 +or- 36,0.9127,2.24E-06 +or- 5.45E-07,1.04E-07 +or- 8.77E-09
090201716a,10:45.1,244 +or- 11,10:45.2,72 +or- 9,0.9713,8.53E-06 +or- 9.48E-07,6.68E-07 +or- 1.84E-08
090201884a,12:56.2,228 +or- 11,12:56.2,76 +or- 9,0.0242,7.96E-06 +or- 1.23E-06,4.21E-07 +or- 2.45E-08
090202321a,41:40.0,244 +or- 44,41:40.0,116 +or- 9,0.5926,9.73E-06 +or- 7.56E-07,4.68E-07 +or- 1.37E-08
090202394a,27:26.8,100 +or- 29,27:26.9,40 +or- 11,0.7444,4.88E-06 +or- 6.68E-07,1.42E-07 +or- 8.85E-09
090202394b^a,30:17.5,60 +or- 16,30:17.5,32 +or- 6,0.1323,1.21E-05 +or- 9.80E-07,3.06E-07 +or- 1.12E-08
090202440a,33:42.0,100 +or- 14,33:42.0,48 +or- 6,0.2807,8.34E-06 +or- 8.54E-07,3.81E-07 +or- 1.48E-08
